task_index,prompt,difficulty,category,tech_stack,module_tags
1,"修复 backend/routes/users.js 中删除用户时未检查学生记录关联的问题，当用户被删除后，相关的学生记录应该级联删除",3,Bug修复,Node.js, Express, SQLite,用户管理
2,"修复 backend/routes/attendance.js 中批量考勤登记时缺少操作日志记录的问题",2,Bug修复,Node.js, Express, SQLite,考勤管理
3,"修复 backend/routes/grades.js 中 /calculate-rank 接口排名计算逻辑错误，相同分数应该获得相同排名且不占用下一名次",4,Bug修复,Node.js, Express, SQLite,成绩管理
4,"修复 backend/middleware/auth.js 中JWT密钥硬编码问题，应该从环境变量读取",2,Bug修复,Node.js, Express, JWT,认证授权
5,"重构 backend/routes/users.js 中的SQL查询逻辑，提取公共分页查询方法",4,代码重构,Node.js, Express, SQLite,用户管理
6,"重构 backend/utils/logger.js，添加日志级别配置、日志轮转和错误日志单独记录功能",5,代码重构,Node.js, Winston,工具模块
7,"为项目添加 Dockerfile，实现前后端服务的容器化部署",4,DevOps,Docker, Node.js, Vue,工程化
8,"配置 GitHub Actions CI/CD 流水线，实现代码提交后自动构建和测试",5,DevOps,GitHub Actions, Node.js,工程化
9,"为 backend/routes/students.js 添加学生批量导入功能，支持Excel文件上传解析",5,功能迭代,Node.js, Express, multer, xlsx,学生管理
10,"在 frontend/src/views/student/StudentList.vue 中添加学生导出Excel功能",4,功能迭代,Vue 2, Ant Design Vue, xlsx,学生管理
11,"在 backend/routes/classes.js 中添加班级统计接口，返回班级人数、平均成绩等统计数据",3,功能迭代,Node.js, Express, SQLite,班级管理
12,"为 backend/routes/homework.js 添加作业提交截止时间检查，超过截止时间后禁止提交",3,功能迭代,Node.js, Express, SQLite,作业管理
13,"在 frontend/src/views/dashboard/Dashboard.vue 中添加图表展示，包括考勤统计、成绩分布等",4,功能迭代,Vue 2, ECharts,数据看板
14,"为 backend/routes/schedule.js 添加课程表冲突检测功能，同一时间不能有重复课程",4,功能迭代,Node.js, Express, SQLite,课程管理
15,"在 frontend/src/views/attendance/Attendance.vue 中添加按日期范围筛选考勤记录的功能",3,功能迭代,Vue 2, Ant Design Vue,考勤管理
16,"为 backend/routes/rewards.js 添加奖惩记录的批量导入功能",4,功能迭代,Node.js, Express, multer,奖惩管理
17,"在 frontend/src/views/grade/GradeList.vue 中添加成绩排名展示和分数段统计",4,功能迭代,Vue 2, Ant Design Vue,成绩管理
18,"为 backend/routes/activities.js 添加活动报名人数限制功能",3,功能迭代,Node.js, Express, SQLite,活动管理
19,"编写 backend/routes/auth.js 的单元测试用例，覆盖登录、注册等核心功能",4,测试,Node.js, Jest, SQLite,认证授权
20,"编写 backend/middleware/auth.js 的单元测试用例，测试认证和角色权限校验",3,测试,Node.js, Jest,认证授权
21,"为 backend/routes/attendance.js 编写集成测试，验证考勤登记和统计功能",5,测试,Node.js, Supertest, Jest,考勤管理
22,"分析 backend/app.js 的错误处理中间件，评估其健壮性并提出改进建议",3,代码理解与分析,Node.js, Express,错误处理
23,"审查 backend/routes/grades.js 的成绩计算逻辑，识别潜在的性能瓶颈和优化点",4,代码理解与分析,Node.js, Express, SQLite,成绩管理
24,"分析 frontend/src/api/index.js 的API调用方式，评估代码质量并提供重构建议",3,代码理解与分析,Vue 2, Axios,API调用
25,"设计并实现 backend/routes/settings.js 的系统配置功能，支持配置学校名称、学期设置等全局参数",4,代码生成,Node.js, Express, SQLite,系统设置
